Bipolaris zeicola, fungi
Biscogniauxia mediterranea, fungi
Blastobotrys adeninivorans, fungi
Blastobotrys americana, fungi
Blastobotrys mokoenaii, fungi
Blastobotrys muscicola, fungi
Blastobotrys niveus, fungi
Blastobotrys peoriensis, fungi
Blastobotrys proliferans, fungi
Blastobotrys raffinosifermentans, fungi
Blastobotrys serpentis, fungi
Blastomyces dermatitidis, fungi
Blastomyces emzantsi, fungi
Blastomyces gilchristii, fungi
Blastomyces parvus, fungi
Blastomyces percursus, fungi
Blastomyces silverae, fungi
Blastosporella zonata, fungi
Blumeria graminis, fungi
Blumeria hordei, fungi
Blumeriella jaapii, fungi
Blyttiomyces helicus, fungi
Boletus bicolor, fungi
Boletus edulis, fungi
Boletus reticuloceps, fungi
Boletus sp. MG55, fungi
Boletus sp. MG95, fungi
Boletus sp. NGJ, fungi
Boletus speciosus, fungi
Bondarzewia mesenterica, fungi
Botryobasidium botryosum, fungi
Botryosphaeria dothidea, fungi
Botryosphaeria kuwatsukai, fungi
Botryotinia calthae, fungi
Botryotinia convoluta, fungi
Botryotinia globosa, fungi
Botryotinia narcissicola, fungi
Botryotinia squamosa, fungi
Botryozyma nematodophila, fungi
Botrytis aclada, fungi
Botrytis byssoidea, fungi
Botrytis cinerea, fungi
Botrytis deweyae, fungi
Botrytis elliptica, fungi
Botrytis fabae, fungi
Botrytis fragariae, fungi
Botrytis galanthina, fungi
Botrytis hyacinthi, fungi
Botrytis medusae, fungi
Botrytis paeoniae, fungi
Botrytis porri, fungi
Botrytis pseudocinerea, fungi
Botrytis sinoallii, fungi
Botrytis tulipae, fungi
Brettanomyces anomalus, fungi
Brettanomyces bruxellensis, fungi
Brettanomyces custersianus, fungi
Brettanomyces naardenensis, fungi
Brettanomyces nanus, fungi
Brettanomyces sp. HC-2020a, fungi
Bretziella fagacearum, fungi
Bullera alba, fungi
Butyriboletus roseoflavus, fungi
Byssochlamys sp. AF001, fungi
Byssochlamys sp. BYSS01, fungi
Byssochlamys sp. IMV 00045, fungi
Byssoonygena ceratinophila, fungi
Byssothecium circinans, fungi
Cadophora malorum, fungi
Cadophora sp. DSE1049, fungi
Cadophora sp. M221, fungi
Cairneyella variabilis, fungi
Calcarisporium arbuscula, fungi
Caloboletus calopus, fungi
Calocera cornea, fungi
Calocera viscosa, fungi
Calocybe cyanea, fungi
Calocybe gambosa, fungi
Calocybe gangraenosa, fungi
Calonectria aciculata, fungi
Calonectria crousiana, fungi
Calonectria fujianensis, fungi
Calonectria henricotiae, fungi
Calonectria honghensis, fungi
Calonectria hongkongensis, fungi
Calonectria ilicicola, fungi
Calonectria leucothoes, fungi
Calonectria multiphialidica, fungi
Calonectria naviculata, fungi
Calonectria pauciramosa, fungi
Calonectria pseudonaviculata, fungi
Calonectria pseudoreteaudii, fungi
Calonectria pseudoturangicola, fungi
Calycina marina, fungi
Candida africana, fungi
Candida albicans, fungi
Candida corydali, fungi
Candida dubliniensis, fungi
Candida maltosa, fungi
Candida metapsilosis, fungi
Candida orthopsilosis, fungi
Candida parapsilosis, fungi
Candida sanyaensis, fungi
Candida sojae, fungi
Candida sp. JCM 15000, fungi
Candida sp. LDI48194, fungi
Candida sp. LN1, fungi
Candida theae, fungi
Candida tropicalis, fungi
Candida viswanathii, fungi
Candolleomyces aberdarensis, fungi
Cantharellus anzutake, fungi
Cantharellus appalachiensis, fungi
Cantharellus cibarius, fungi
Cantharellus cinnabarinus, fungi
Cantharellus lutescens, fungi
Capillidium heterosporum, fungi
Capniomyces stellatus, fungi
Capronia coronata, fungi
Capronia epimyces, fungi
Catenaria anguillulae, fungi
Caulochytrium protostelioides, fungi
Celoporthe dispersa, fungi
Cenococcum geophilum, fungi
Cephaloascus albidus, fungi
Cephaloascus fragrans, fungi
Ceraceosorus bombacis, fungi
Ceraceosorus guamensis, fungi
Cerataphis brasiliensis yeast-like symbiont, fungi
Ceratobasidium sp. 370, fungi
Ceratobasidium sp. 392, fungi
